姓名,性别,年龄,头像,生日,星座,粉丝数,关注数,被赞数,注册时间,签名描述,主页url
﻿16027668,陈羽凡,m,,http://mvavatar1.meitudata.com/536f26b17d012412.jpg,,,3542328,59,103836,2014-05-11 15:28:49,,http://www.meipai.com/user/16027668?client_id=1089857299
﻿65795918,美拍娱乐,f,,http://maavatar1.meitudata.com/5b100945ec3551715.jpg,,,7827585,497,5752129,2014-10-15 15:35:04,,http://www.meipai.com/user/65795918?client_id=1089857299
﻿66659082,戚薇,f,33,http://mvavatar1.meitudata.com/5445042b48a0d8965.jpg,1984-10-26,Scorpio,2784063,1,131606,2014-10-20 20:46:35,,http://www.meipai.com/user/66659082?client_id=1089857299
﻿10179938,马达盒子,m,25,http://mvavatar2.meitudata.com/5a6c249f860115363.jpg,1993-02-13,Aquarius,136429,140,496783,2014-05-07 19:19:14,,http://www.meipai.com/user/10179938?client_id=1089857299
﻿22204648,多妈7788,f,,http://mvavatar1.meitudata.com/5379a7878b2a69503.jpg,,,4928763,24,2340638,2014-05-19 14:41:11,,http://www.meipai.com/user/22204648?client_id=1089857299
﻿37718769,郑在秀,m,4,http://mvavatar1.meitudata.com/5779d10b83b169712.jpg,2014-03-28,Aries,1742420,131,8732961,2014-06-09 14:13:28,,http://www.meipai.com/user/37718769?client_id=1089857299
﻿38072436,新闻晨报,m,,http://mvavatar1.meitudata.com/539e8c85d65af6381.jpg,,,607611,31,9511509,2014-06-16 14:19:49,,http://www.meipai.com/user/38072436?client_id=1089857299
﻿32620710,馋客美食旅行家😋,m,0,http://maavatar1.meitudata.com/59c9bcdbd620c8253.jpg,2017-07-20,Cancer,121849,48,264392,2014-06-03 11:40:46,,http://www.meipai.com/user/32620710?client_id=1089857299
﻿11412878,羅志祥,m,,http://mvavatar2.meitudata.com/536d093b9c2f82418.jpg,,,2292776,3,1050550,2014-05-10 00:58:35,,http://www.meipai.com/user/11412878?client_id=1089857299
﻿1003264,馒头哥,f,31,http://mvavatar1.meitudata.com/59f9ce23524949285.jpg,1987-02-14,Aquarius,58426,295,478067,2014-01-15 17:16:01,,http://www.meipai.com/user/1003264?client_id=1089857299
﻿20392810,蜡笔_小欣,f,28,http://maavatar1.meitudata.com/56f725027a2506195.jpg,1990-02-20,Pisces,98894,65,58437,2014-05-13 13:52:45,,http://www.meipai.com/user/20392810?client_id=1089857299
﻿47712248,杨公子要上进,m,25,http://mvavatar1.meitudata.com/5a549629543c3323.jpg,1992-10-11,Libra,1096011,317,3391477,2014-07-20 17:30:53,,http://www.meipai.com/user/47712248?client_id=1089857299
﻿10048,亮亮酱,f,28,http://mvavatar2.meitudata.com/5711c51280be37415.jpg,1990-01-17,Capricorn,101883,566,384929,2014-01-09 17:49:35,,http://www.meipai.com/user/10048?client_id=1089857299
﻿20591566,主播李湘,f,,http://mvavatar1.meitudata.com/537649abd417c7590.jpg,,,7557397,23,1346263,2014-05-14 00:44:26,,http://www.meipai.com/user/20591566?client_id=1089857299
﻿49895925,隋棠SoniaSui,f,,http://mvavatar1.meitudata.com/544d6811d21db8019.jpg,,,905873,1,10309,2014-07-26 23:50:27,,http://www.meipai.com/user/49895925?client_id=1089857299
﻿20898225,邓家佳,f,,http://mvavatar1.meitudata.com/5375beec387e23455.jpg,,,2068116,15,391653,2014-05-15 02:06:22,,http://www.meipai.com/user/20898225?client_id=1089857299
﻿31997720,杨威YYY,m,,http://mvavatar1.meitudata.com/53a6e4a3103b68542.jpg,,,6758676,4,980738,2014-06-22 22:13:55,,http://www.meipai.com/user/31997720?client_id=1089857299
﻿16765996,香香公主颖儿,f,,http://mvavatar1.meitudata.com/536f388d29f9c2124.jpg,,,2990899,4,135470,2014-05-11 16:45:01,,http://www.meipai.com/user/16765996?client_id=1089857299
﻿68752736,周觅MI,m,,http://mvavatar2.meitudata.com/578b606a109353803.jpg,,,5668821,12,528343,2014-11-03 05:26:04,,http://www.meipai.com/user/68752736?client_id=1089857299
﻿1004569,Moons_,f,3,http://mvavatar1.meitudata.com/564c75ccb92eb2874.jpg,2014-10-21,Libra,312553,85,275023,2014-04-09 21:40:54,,http://www.meipai.com/user/1004569?client_id=1089857299
﻿60123625,金世佳,m,,http://mvavatar1.meitudata.com/5414179ee549f4995.jpg,,,2057916,19,160290,2014-09-13 18:08:30,,http://www.meipai.com/user/60123625?client_id=1089857299
﻿34460214,-_青森,m,22,http://mvavatar1.meitudata.com/5b0ffffbe8f15446.jpg,1996-05-24,Gemini,121756,37,26190,2014-06-12 03:28:43,,http://www.meipai.com/user/34460214?client_id=1089857299
﻿49241095,刘璇,f,,http://mvavatar2.meitudata.com/53d1cf951e634113.jpg,,,4000416,5,156843,2014-07-25 11:31:32,,http://www.meipai.com/user/49241095?client_id=1089857299
﻿56868885,网易时尚频道,f,,http://mvavatar2.meitudata.com/53fc3b9f94b904873.jpg,,,69180,16,14036,2014-08-26 15:47:43,,http://www.meipai.com/user/56868885?client_id=1089857299
﻿32691945,骑士-晖,m,39,http://mvavatar1.meitudata.com/5746647c1e9e48080.jpg,1979-04-10,Aries,272703,103,235621,2014-05-26 23:23:30,,http://www.meipai.com/user/32691945?client_id=1089857299
﻿1030551463,TAEYANG_CHINA,m,,http://mvavatar2.meitudata.com/55690f05d77252464.jpg,,,4783211,3,592470,2015-05-30 09:14:45,,http://www.meipai.com/user/1030551463?client_id=1089857299
﻿1030549872,BIGBANG_ASIA,m,,http://mvavatar1.meitudata.com/55690b29b82392537.jpg,,,10100879,3,3224022,2015-05-30 08:58:17,,http://www.meipai.com/user/1030549872?client_id=1089857299
﻿1030552276,SEUNGRI胜利-YG,m,,http://mvavatar2.meitudata.com/556914c2f1f0d6534.jpg,,,5278905,3,753468,2015-05-30 09:22:43,,http://www.meipai.com/user/1030552276?client_id=1089857299
﻿1030553793,GDRAGON_OFFICIAL,m,,http://mvavatar1.meitudata.com/556923d3d7a134136.jpg,,,9581881,3,1738290,2015-05-30 09:37:12,,http://www.meipai.com/user/1030553793?client_id=1089857299
﻿1022953022,Yp杨英鹏,m,27,http://mvavatar2.meitudata.com/59861f40717591020.jpg,1991-01-15,Capricorn,1113802,70,4365398,2015-04-10 19:37:13,,http://www.meipai.com/user/1022953022?client_id=1089857299
﻿37710885,小片片说大片,m,3,http://mvavatar2.meitudata.com/5a41af956d7741582.jpg,2015-04-26,Taurus,1832961,307,17335545,2014-06-22 17:34:02,,http://www.meipai.com/user/37710885?client_id=1089857299
﻿1012442016,腐女那点事,m,3,http://maavatar1.meitudata.com/576df1364311e3120.jpg,2015-02-17,Aquarius,294255,17,5431467,2015-02-15 19:45:35,,http://www.meipai.com/user/1012442016?client_id=1089857299
﻿13497744,nG家的猫娱乐分享,m,31,http://mvavatar2.meitudata.com/572247e7399e24058.jpg,1986-08-22,Leo,629168,2,2763369,2014-05-08 21:39:03,,http://www.meipai.com/user/13497744?client_id=1089857299
﻿23417892,FishL,f,,http://mvavatar2.meitudata.com/537f6bdd6d38c4319.jpg,,,2104339,19,23634,2014-05-23 23:40:13,,http://www.meipai.com/user/23417892?client_id=1089857299
﻿33920936,veggieg,f,,http://mvavatar1.meitudata.com/5385cf63317ca4790.jpg,,,10267941,17,316760,2014-05-28 19:47:13,,http://www.meipai.com/user/33920936?client_id=1089857299
﻿53502706,韩火火,m,,http://mvavatar2.meitudata.com/53e80f3d891524102.jpg,,,395085,17,94550,2014-08-11 08:33:01,,http://www.meipai.com/user/53502706?client_id=1089857299
﻿1172191,杜海涛Hito,m,30,http://mvavatar2.meitudata.com/548823ef766345741.jpg,1987-10-28,Scorpio,15660053,192,3809854,2014-05-04 23:09:20,,http://www.meipai.com/user/1172191?client_id=1089857299
﻿40901513,贾乃亮,m,,http://mvavatar1.meitudata.com/551eaf93369133891.jpg,,,11442442,16,4350687,2014-06-29 14:41:33,,http://www.meipai.com/user/40901513?client_id=1089857299
﻿55803578,李易峰,m,,http://mvavatar2.meitudata.com/53f5dd0c6a7564693.jpg,,,6225258,1,994434,2014-08-21 19:50:36,,http://www.meipai.com/user/55803578?client_id=1089857299
﻿56966628,张翰,m,,http://mvavatar2.meitudata.com/53fca0cc4fa5d4377.jpg,,,745960,0,29949,2014-08-26 22:59:24,,http://www.meipai.com/user/56966628?client_id=1089857299
﻿10404432,郑恺,m,,http://mvavatar1.meitudata.com/536a39bc267136602.jpg,,,11418053,157,2602517,2014-05-07 21:48:44,,http://www.meipai.com/user/10404432?client_id=1089857299
﻿17705505,大叔汪只是个球,m,3,http://mvavatar2.meitudata.com/53e2801bf2cf87041.jpg,2014-11-01,Scorpio,730633,89,2366203,2014-05-11 18:15:08,,http://www.meipai.com/user/17705505?client_id=1089857299
﻿60426228,蔡瀾,m,,http://mvavatar2.meitudata.com/54164e0408a645477.jpg,,,152450,3,370,2014-09-15 10:25:07,,http://www.meipai.com/user/60426228?client_id=1089857299
﻿21437327,李桢航,m,29,http://mvavatar1.meitudata.com/59f87c2679fd15617.jpg,1988-09-07,Virgo,247341,3,246362,2014-05-17 04:26:14,,http://www.meipai.com/user/21437327?client_id=1089857299
﻿20871455,柳岩,f,,http://mvavatar2.meitudata.com/58f4b2b6a715b8367.jpg,,,6302441,2,2580332,2014-05-14 23:26:43,,http://www.meipai.com/user/20871455?client_id=1089857299
﻿49565725,吴昕,f,,http://mvavatar1.meitudata.com/53d2441fab6296530.jpg,,,1983921,34,268628,2014-07-25 19:48:47,,http://www.meipai.com/user/49565725?client_id=1089857299
﻿11385068,papi酱,f,118,http://mvavatar2.meitudata.com/565bf57fb8fb0150.jpg,1900-02-17,Aquarius,5543564,30,29802480,2014-05-10 00:53:21,,http://www.meipai.com/user/11385068?client_id=1089857299
﻿1009958,罗休休,f,24,http://mvavatar2.meitudata.com/590c6d4e346098253.jpg,1993-08-27,Virgo,3220297,149,26933231,2014-04-21 21:35:35,,http://www.meipai.com/user/1009958?client_id=1089857299
﻿1009737570,发誓瘦成一道闪电,f,32,http://mvavatar1.meitudata.com/5991145500a2f3771.jpg,1986-03-06,Pisces,368627,55,511270,2015-01-28 18:21:22,,http://www.meipai.com/user/1009737570?client_id=1089857299
﻿50749345,厨娘物语c小鹿,f,27,http://mvavatar1.meitudata.com/5a5ddf155e8066044.jpg,1991-03-14,Pisces,2267246,89,11343162,2014-07-30 12:58:29,,http://www.meipai.com/user/50749345?client_id=1089857299
﻿32940687,沈肯尼_London,m,,http://mvavatar1.meitudata.com/588ba9461a6955359.jpg,,,959108,1,2966403,2014-05-31 18:46:29,,http://www.meipai.com/user/32940687?client_id=1089857299
﻿22814619,场库,m,2,http://maavatar1.meitudata.com/5b1022c68d4a04446.jpg,2015-07-23,Leo,711456,162,2103051,2014-05-21 18:05:20,,http://www.meipai.com/user/22814619?client_id=1089857299
﻿1040592109,懒蛋蛋的故事,m,2,http://mvavatar2.meitudata.com/562491d86b4ca8539.jpg,2015-08-09,Leo,200926,26,632104,2015-08-04 16:36:10,,http://www.meipai.com/user/1040592109?client_id=1089857299
﻿67855643,霸气的狮虎豹家族,m,2,http://mvavatar1.meitudata.com/54a0e0a93d740788.jpg,2015-09-28,Libra,476585,22,4459866,2014-10-28 11:47:20,,http://www.meipai.com/user/67855643?client_id=1089857299
﻿1015979473,迷你厨房,m,3,http://mvavatar1.meitudata.com/54f994f70ca523954.jpg,2015-03-06,Pisces,274267,16,813194,2015-03-06 19:35:53,,http://www.meipai.com/user/1015979473?client_id=1089857299
﻿21733913,稀饭编发,f,3,http://mvavatar2.meitudata.com/597efc693c2aa8536.jpg,2015-04-25,Taurus,1344927,1,1867404,2014-05-17 23:22:55,,http://www.meipai.com/user/21733913?client_id=1089857299
﻿44601620,D57-BADA,f,3,http://mvavatar1.meitudata.com/564ed5a9de9d82110.jpg,2014-07-04,Cancer,589725,129,850303,2014-07-09 00:13:22,,http://www.meipai.com/user/44601620?client_id=1089857299
﻿32685586,沈煜伦QUINTUS,m,1,http://mvavatar2.meitudata.com/5820be00d800a3512.jpg,2016-08-05,Leo,630142,8,656250,2014-05-31 18:11:46,,http://www.meipai.com/user/32685586?client_id=1089857299
﻿68182938,玩转美拍特效,f,,http://mvavatar1.meitudata.com/54520ab4610b21896.png,,,269669,1,502077,2014-10-30 17:55:04,,http://www.meipai.com/user/68182938?client_id=1089857299
﻿1003311,史蒂夫,m,22,http://mvavatar1.meitudata.com/537af21e722406492.jpg,1995-07-20,Cancer,1908818,1801,8366613,2014-01-27 17:59:31,,http://www.meipai.com/user/1003311?client_id=1089857299
﻿1123467,陈翔橙,m,,http://mvavatar1.meitudata.com/53644d80d93ac7764.jpg,,,915294,77,388550,2014-05-03 09:59:28,,http://www.meipai.com/user/1123467?client_id=1089857299
﻿23397062,苏芩,f,2,http://mvavatar2.meitudata.com/575522958b6716655.jpg,2016-03-09,Pisces,526282,2,15494,2014-05-23 22:30:53,,http://www.meipai.com/user/23397062?client_id=1089857299
﻿31115226,赵丽颖,f,,http://mvavatar1.meitudata.com/5387424aa68138235.jpg,,,8019854,1,2664340,2014-05-29 22:20:58,,http://www.meipai.com/user/31115226?client_id=1089857299
﻿35176747,袁弘,m,,http://mvavatar2.meitudata.com/53a85c9e9b8829262.jpg,,,227189,2,0,2014-06-24 00:58:06,,http://www.meipai.com/user/35176747?client_id=1089857299
﻿40588874,Kevin凯文老师,m,2018,http://mvavatar1.meitudata.com/582d36fce73202052.jpg,0000-00-00,Sagittarius,492449,17,413524,2014-06-28 16:22:02,,http://www.meipai.com/user/40588874?client_id=1089857299
﻿51965718,欧豪,m,,http://mvavatar2.meitudata.com/53df19e25d71e4554.jpg,,,301340,1,66891,2014-08-04 13:28:02,,http://www.meipai.com/user/51965718?client_id=1089857299
﻿55780028,武艺,m,,http://mvavatar1.meitudata.com/53f5c418c7e3f4599.jpg,,,101612,1,0,2014-08-21 18:04:08,,http://www.meipai.com/user/55780028?client_id=1089857299
﻿55905037,陈晓,m,,http://mvavatar2.meitudata.com/53f6a66e4ec782426.jpg,,,369934,1,0,2014-08-22 10:09:50,,http://www.meipai.com/user/55905037?client_id=1089857299
﻿58451121,左立是疯儿,m,,http://mvavatar2.meitudata.com/54081747d712b5235.jpg,,,58366,1,1375,2014-09-04 15:39:51,,http://www.meipai.com/user/58451121?client_id=1089857299
﻿1003994507,李准基,m,,http://mvavatar1.meitudata.com/548bc66517c8e1999.jpg,,,5386882,5,596647,2014-12-13 12:53:57,,http://www.meipai.com/user/1003994507?client_id=1089857299
﻿1010821666,夢想實現家_林志穎,m,,http://mvavatar1.meitudata.com/54d3608e4f1ea5604.jpg,,,4038033,19,131461,2015-02-05 20:22:38,,http://www.meipai.com/user/1010821666?client_id=1089857299
﻿37205095,小P老师,m,,http://mvavatar1.meitudata.com/538a922ef0afa3181.jpg,,,445799,3,16478,2014-06-01 10:38:38,,http://www.meipai.com/user/37205095?client_id=1089857299
﻿48795162,JustinJenna,f,0,http://mvavatar2.meitudata.com/53cd3184edf8a3907.jpg,2550-08-06,Leo,649917,58,1095715,2014-07-21 23:28:04,,http://www.meipai.com/user/48795162?client_id=1089857299
﻿68016852,最热时尚,f,25,http://mvavatar1.meitudata.com/545c89cb21de05673.jpg,1993-02-26,Pisces,289014,16,572001,2014-10-29 14:20:26,,http://www.meipai.com/user/68016852?client_id=1089857299
﻿22506604,美图秀秀,f,10,http://maavatar1.meitudata.com/5b0bb9312ead1778.jpg,2008-01-01,Capricorn,763644,43,835224,2014-05-20 15:39:02,,http://www.meipai.com/user/22506604?client_id=1089857299
﻿44640176,陈乔恩,f,,http://mvavatar2.meitudata.com/53bd1646bc96a7621.jpg,,,7235727,44,1404017,2014-07-09 18:15:34,,http://www.meipai.com/user/44640176?client_id=1089857299
﻿1000107297,赵薇,f,,http://mvavatar1.meitudata.com/5461aa0264c116146.jpg,,,5901206,1,321019,2014-11-11 14:17:38,,http://www.meipai.com/user/1000107297?client_id=1089857299
﻿15799507,白百何,f,,http://mvavatar1.meitudata.com/536f213e01d659273.jpg,,,1236501,29,98217,2014-05-11 15:05:33,,http://www.meipai.com/user/15799507?client_id=1089857299
﻿32821588,陈翔六点半,m,32,http://mvavatar2.meitudata.com/5383608d1a6f29441.jpg,1986-03-12,Pisces,5921206,360,146395918,2014-05-26 23:41:01,,http://www.meipai.com/user/32821588?client_id=1089857299
﻿37229408,全球搞笑精选,m,25,http://maavatar1.meitudata.com/59b114043233f8588.jpg,1992-08-23,Virgo,1168230,1267,15140395,2014-06-26 02:31:38,,http://www.meipai.com/user/37229408?client_id=1089857299
﻿22772005,姚永纯,m,29,http://mvavatar2.meitudata.com/5735942dec8535242.jpg,1989-04-12,Aries,937276,274,5168710,2014-05-21 15:02:25,,http://www.meipai.com/user/22772005?client_id=1089857299
﻿15241587,超级无敌小葡萄,f,10,http://mvavatar2.meitudata.com/536c1e41ca9055883.jpg,2007-11-07,Scorpio,731926,31,440354,2014-05-09 08:16:01,,http://www.meipai.com/user/15241587?client_id=1089857299
﻿67238671,美丽说-花小美,f,,http://mvavatar1.meitudata.com/544a31fa429d12326.jpg,,,109560,1,7213,2014-10-24 19:03:22,,http://www.meipai.com/user/67238671?client_id=1089857299
﻿39535247,LazyCat_LU,f,23,http://mvavatar1.meitudata.com/597756d8596117197.jpg,1995-03-16,Pisces,563963,9,654240,2014-06-26 12:28:16,,http://www.meipai.com/user/39535247?client_id=1089857299
﻿21388413,赵承右Hadi,m,,http://mvavatar2.meitudata.com/53762603e72e89155.jpg,,,60052,13,8784,2014-05-16 22:51:47,,http://www.meipai.com/user/21388413?client_id=1089857299
﻿20195553,广州日报,m,3,http://mvavatar1.meitudata.com/53eb4169dcd1c6515.jpg,2015-03-11,Pisces,740719,13,3590615,2014-05-12 19:38:44,,http://www.meipai.com/user/20195553?client_id=1089857299
﻿22403602,angelababy,f,,http://maavatar1.meitudata.com/537a72c5b3fc64146.jpg,,,17302878,44,6499355,2014-05-20 05:08:21,,http://www.meipai.com/user/22403602?client_id=1089857299
﻿20065003,猫的树的小视频,m,27,http://maavatar1.meitudata.com/53702f80756406491.jpg,1991-02-22,Pisces,1315527,10,3557435,2014-05-12 10:15:43,,http://www.meipai.com/user/20065003?client_id=1089857299
﻿1001084738,何仙姑夫工作室,m,4,http://mvavatar1.meitudata.com/57de7022e83133765.jpg,2013-11-11,Scorpio,424021,18,2615399,2014-11-17 21:15:14,,http://www.meipai.com/user/1001084738?client_id=1089857299
﻿1014697,张沫凡MOMO,f,26,http://mvavatar2.meitudata.com/596ef2a0b890a6426.jpg,1991-12-29,Capricorn,2544328,79,24860061,2014-04-23 12:00:26,,http://www.meipai.com/user/1014697?client_id=1089857299
﻿35667624,摄影师Nicole,f,28,http://mvavatar1.meitudata.com/552780a02e1a41668.jpg,1989-09-24,Libra,467371,93,831560,2014-05-27 14:47:40,,http://www.meipai.com/user/35667624?client_id=1089857299
﻿1007677253,粉丝群,f,,http://mvavatar2.meitudata.com/54b5ed50b719f6677.jpg,,,854896,21,13495,2015-01-10 17:27:48,,http://www.meipai.com/user/1007677253?client_id=1089857299
﻿52675815,开心消消乐大村长,f,,http://mvavatar1.meitudata.com/53e348d3e4e624591.jpg,,,106181,1,2126,2014-08-07 17:37:23,,http://www.meipai.com/user/52675815?client_id=1089857299
﻿34392669,OPPO手机,m,4,http://mvavatar1.meitudata.com/5395113b6edfa9971.jpg,2014-01-01,Capricorn,383625,67,436435,2014-06-09 09:43:23,,http://www.meipai.com/user/34392669?client_id=1089857299
﻿53925783,蘑菇街,f,2018,http://mvavatar2.meitudata.com/5836a58f1c1e31863.jpg,0000-00-00,Sagittarius,428687,24,1702295,2014-08-13 06:51:59,,http://www.meipai.com/user/53925783?client_id=1089857299
﻿45027967,美食家大雄,m,,http://mvavatar1.meitudata.com/5950d249f11c23879.jpg,,,94953,1,107949,2014-07-10 08:45:01,,http://www.meipai.com/user/45027967?client_id=1089857299
﻿22702031,陆毅,m,,http://mvavatar1.meitudata.com/537c01ff3d05e3215.jpg,,,6887096,29,1116173,2014-05-21 09:31:43,,http://www.meipai.com/user/22702031?client_id=1089857299
﻿20412045,掌上青岛,f,6,http://mvavatar2.meitudata.com/59c09370cec5f9331.jpg,2012-02-28,Pisces,436855,247,1055096,2014-05-13 15:12:10,,http://www.meipai.com/user/20412045?client_id=1089857299
﻿31201366,钟丽缇Christy,f,0,http://mvavatar2.meitudata.com/5395902db82c85215.jpg,2018-02-01,Aquarius,13071842,146,9028386,2014-06-09 18:45:01,,http://www.meipai.com/user/31201366?client_id=1089857299
﻿52195069,玩转美拍,m,21,http://mvavatar1.meitudata.com/53e1a5a487c1a3288.png,1996-07-28,Leo,105959026,6,4790643,2014-08-05 14:00:34,,http://www.meipai.com/user/52195069?client_id=1089857299
﻿43547966,鬼鬼吴映洁,f,,http://mvavatar1.meitudata.com/53b9d136d22ec6821.jpg,,,322775,1,43152,2014-07-07 06:44:06,,http://www.meipai.com/user/43547966?client_id=1089857299
﻿34333243,我是娜扎,f,,http://mvavatar2.meitudata.com/5391979e597ca6521.jpg,,,1363114,10,463023,2014-06-06 18:27:42,,http://www.meipai.com/user/34333243?client_id=1089857299
﻿11520480,陳敏之,f,,http://mvavatar2.meitudata.com/54d1bfe1d79286187.jpg,,,6957629,18,857213,2014-05-08 13:57:33,,http://www.meipai.com/user/11520480?client_id=1089857299
﻿22845447,黄渤,m,,http://mvavatar1.meitudata.com/537c9568708fa8996.jpg,,,1902821,69,108974,2014-05-21 20:00:40,,http://www.meipai.com/user/22845447?client_id=1089857299
﻿33504758,薛凯琪,f,,http://mvavatar2.meitudata.com/5a335b60a6f9a9156.jpg,,,8009668,0,1646424,2014-06-10 16:22:30,,http://www.meipai.com/user/33504758?client_id=1089857299
﻿36734547,娄艺潇,f,,http://mvavatar2.meitudata.com/539e6a5c0d40d3102.jpg,,,5932100,16,1204233,2014-06-16 11:54:03,,http://www.meipai.com/user/36734547?client_id=1089857299
﻿21506288,賀軍翔,m,,http://mvavatar1.meitudata.com/5376e503eeb085916.jpg,,,836518,24,71928,2014-05-17 12:26:43,,http://www.meipai.com/user/21506288?client_id=1089857299
﻿45607618,黄文煜,m,25,http://mvavatar2.meitudata.com/58cacbf84aabf1234.jpg,1992-12-24,Capricorn,2384810,115,11257748,2014-07-12 10:46:27,,http://www.meipai.com/user/45607618?client_id=1089857299
﻿36569109,shilaamzah茜拉,f,27,http://mvavatar1.meitudata.com/58758520e4e125722.jpg,1990-08-13,Leo,4927941,15,989162,2014-05-29 07:32:43,,http://www.meipai.com/user/36569109?client_id=1089857299
﻿65441328,田渤TB,m,5,http://maavatar1.meitudata.com/5b12eed5103687819.jpg,2012-10-25,Scorpio,191999,50,231643,2014-10-12 23:38:05,,http://www.meipai.com/user/65441328?client_id=1089857299
﻿54955340,SINOSTAGE舞邦,f,4,http://mvavatar1.meitudata.com/5461c2461c9b21315.jpg,2014-04-18,Aries,1008092,123,1886556,2014-08-17 19:59:21,,http://www.meipai.com/user/54955340?client_id=1089857299
﻿14060550,摄影师-臭阿熊,m,26,http://mvavatar1.meitudata.com/56534772cfdde6189.jpg,1992-05-18,Taurus,91424,219,100255,2014-05-10 12:35:12,,http://www.meipai.com/user/14060550?client_id=1089857299
﻿37266351,香喷喷的小烤鸡,m,26,http://mvavatar2.meitudata.com/5ae0341a3e0824374.jpg,1992-02-21,Pisces,2828035,291,12875679,2014-06-12 12:37:23,,http://www.meipai.com/user/37266351?client_id=1089857299
﻿54753538,👉💭💭然然💭💭,f,27,http://mvavatar2.meitudata.com/5a3202bfcc28d9706.jpg,1990-10-31,Scorpio,114140,31,158240,2014-08-16 22:15:28,,http://www.meipai.com/user/54753538?client_id=1089857299
﻿54534093,Maxxxxxxx-l,f,27,http://mvavatar1.meitudata.com/53ee1d576d1627428.jpg,1990-11-03,Scorpio,179253,26,512387,2014-08-15 22:46:47,,http://www.meipai.com/user/54534093?client_id=1089857299
﻿18510865,Silves,m,26,http://mvavatar1.meitudata.com/5ae6ebbb3cd546568.jpg,1991-10-02,Libra,220951,4,259977,2014-05-09 19:25:58,,http://www.meipai.com/user/18510865?client_id=1089857299
﻿20410153,丶九一,m,26,http://mvavatar1.meitudata.com/57f3ae4b8622c1692.jpg,1991-10-01,Libra,127233,27,83102,2014-05-13 15:05:39,,http://www.meipai.com/user/20410153?client_id=1089857299
